id	filename	md5	size	state
3b357095-a74c-41ae-b91b-874eddfc2bef	d8d59d9b-c57a-4383-8962-9204a8b9175a.rna_seq.genomic.gdc_realn.bam	822aa2aa026495bf6be10738e0d6795b	5807858095	released
895066d6-e1e4-43a6-8eaf-f3fb35e46295	2bbc05dc-29d8-4f22-8011-48b9cd2f4360.rna_seq.genomic.gdc_realn.bam	4a5cbdf6155eaedfd767a66c4941eb2a	7889058685	released
83ca9d98-3734-4682-963b-12a6f68e92dd	18496158-0c5e-4f32-a8bc-3c946dad43c3.rna_seq.genomic.gdc_realn.bam	1ac79d9550c9804aa35b8c53d388ec00	6163179349	released
13179478-b0ea-4c3e-9c3a-75d5a9945993	38afdac7-861e-4d67-b6a3-4f95f8880bb2.rna_seq.genomic.gdc_realn.bam	210c114c3ddc39d26e66e922b52a84ea	6320830433	released
0b7bd36e-cba2-4395-bcb9-750da0457313	8acb6203-ddd0-4edc-8017-7e3b2953b7a2.rna_seq.genomic.gdc_realn.bam	36e6bcbfe1b8459bbbe75b2ec894e270	7525247948	released
8bdc6672-34b0-4797-b7aa-c8fc0ea493b5	d48466f5-2fbe-455a-9e19-2277f71983d5.rna_seq.genomic.gdc_realn.bam	cecfbe549948b3b604dd3530c298fdae	6969323809	released
0dac9167-7d2c-416f-bdd1-52175410975f	b65a7b29-61ac-495f-b06c-065909a2971b.rna_seq.genomic.gdc_realn.bam	8b7f2f5eb1ef860900f530b5c5c91483	8435827567	released
8f7831fd-8244-413d-b3be-6f7b5568257b	0e86cd4d-d678-4061-9717-ffcd93f05dbd.rna_seq.genomic.gdc_realn.bam	6373578d39938f612bc9974fb44abc44	5780129755	released
d5697644-529a-42da-b305-e6f45a8fdcc0	0c792398-8789-4708-bc3a-73b0bde80175.rna_seq.genomic.gdc_realn.bam	aab7a7906d754508631ae17906b56716	6036528175	released
1922b05d-0ca3-4be4-b659-039797fb98c1	f9862bd4-4530-4ba9-b940-658d39907222.rna_seq.genomic.gdc_realn.bam	e81a884b30014c75075187424f72c30c	3993297290	released
46055029-71fc-4c8f-a1b7-d79bf4f25acc	c1f10672-b50f-453b-ba18-3a5858a10bf6.rna_seq.genomic.gdc_realn.bam	a4254bc0fd6c9253bf8073de09c9dd02	4388239974	released
d39106ee-ee71-43b7-9701-9106083688d6	74e2edb8-5d55-48b2-a24d-2d76db8a04bd.rna_seq.genomic.gdc_realn.bam	d0aa302d14d18083a82f9ad0a12de284	7740528589	released
560115d9-6954-4915-a66e-83ece7003b9d	3e391ede-f7b1-46ef-ae6e-24cfed805095.rna_seq.genomic.gdc_realn.bam	6b449f3ff43855e75b7d709d47ab0870	8596679777	released
70f4f5a5-f302-47f4-9657-280a86c037ce	f94feb03-e191-4328-9818-7220696e3a86.rna_seq.genomic.gdc_realn.bam	2f7c41a7b7651cb547d1b61021e8ad30	6643329645	released
90ab336d-45e0-4822-803a-b55bea1ba256	45fcc1a1-d73a-4ec5-95ae-f9ca82c5b3fd.rna_seq.genomic.gdc_realn.bam	abb5d56db78986d131535ca88b47bb4e	6373018084	released
c247e99b-a51e-46a0-a66d-6f5d9e62f2f7	7dcf88b1-efbf-4d15-8702-c089871ec52e.rna_seq.genomic.gdc_realn.bam	b0cbed55403fa25183168450593a6bbb	4561589514	released
dd8f3bdc-26a9-4e63-9371-917e1c4e6e9d	5b47289b-49a4-40c2-9089-34fd811149d2.rna_seq.genomic.gdc_realn.bam	40f8ba8e2b44b7dea8b563c46f8d304a	3819800788	released
511f5690-b0d9-4183-9ae1-4e2a0384c2c3	8a851a1b-c39e-4ee2-876a-447ff4b088c4.rna_seq.genomic.gdc_realn.bam	67b220e31e50d16f1a99efed7034338b	8450641907	released
96885d28-b6d1-4bc3-9ccf-a8ce863c236d	d9480f8b-3086-4a6f-b349-a3ae5bafe58c.rna_seq.genomic.gdc_realn.bam	ec6a12f8cdcc796dc802ea99eb8a8cc7	4170371384	released
7daf9bf0-103a-4dd7-905a-04159faffffb	f1584361-851d-474f-8515-a6fea9651ecb.rna_seq.genomic.gdc_realn.bam	d1f9d7200c9dd438c883f47abb044bfd	8144645916	released
c029f353-b5d8-4b52-b19f-127f42cb44c3	8c815c9c-7cb4-444e-a348-480abdf60fb2.rna_seq.genomic.gdc_realn.bam	88e6b09b17f60b9e4fb44e54687c980c	13962739083	released
